Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2021-04-01 11:10 UTC,,,0.01,BTC,,,,,,,a840611e81e67daf0bcb2881d5caf8bf0872cf1f9ccab7eee75eed9172e78ac9
2020-11-19 12:00 UTC,,,0.07366388,COMP,,,,,,,0xda7a4f2e3624f175ac913166333ad2c63dfe42bb274cd8aa93852ef304ca00c3
2020-10-31 03:12 UTC,,,0.09128743,COMP,,,,,,,0xd7e17fb0041b4a2ddc5a45e0b8c7f7893672a2f6d3696c96f34e06107fc0d1f0
2020-10-04 02:04 UTC,,,3.31715348,UNI,,,,,,,0x1679cabec73b406b9dbfeb7a3dbb2c72a7c6a922038e89fc83f538af086cb24c
2020-10-04 01:54 UTC,,,1.01851575,UNI,,,,,,,0xd56592da0b13fd0c7849ace11ce5548a38889e2f89537452e844046836e2aca8
